VIN|StreetName|VehicleMake|Date Reported
2QNXD96ODKO973198|SAND ISLAND PKWY| porsche|9/28/2016
2ALZS29YANS819048|POKI ST|mitsubishi|6/18/2016
5EXMH44XAKU135105|POKI ST|isuzu|7/7/2013
4BVUM73TZEP264112|POKI ST| peugot|10/8/2011
4HURN47HDNS40107|POKI ST| volkswagen|4/5/2017
5SGSL55YXPZ562156|KOAHEAHE ST| plymouth|6/25/2016
5TAIH6PKKE457237|SAND ISLAND PKWY| jaguar|8/4/2016
1SVHW47NNVC847654|COOLIDGE ST| porsche|3/26/2015
2TYZQ63JXMI650889|COOLIDGE ST| toyota|5/22/2011
1HUTF12IIAH198272|KAHUHIPA ST| jaguar|9/19/2016
4SZRK4BXYW828914|KAHUHIPA ST| volkswagen|9/24/2016
2CYAF42DFNA84804|POKAI BAY ST| subaru|11/16/2014
4UUHQ9XDXX492886|FARRINGTON HWY| nissan|2/23/2012
5JNTG14HCFC933362|KEWALO ST|renault|5/22/2012
2IIZC51MAMV997014|KALOALUIKI ST| volkswagen|7/9/2015
4VUSQ60OJAD880714|KEWALO ST| alfa-romero|5/28/2013
4KGXA30LBLD375971|PIKI PL|renault|7/12/2013
4FZQI39DSHH843581|LIKINI ST|mitsubishi|2/12/2011
1LQFP40LNGH839314|INOAOLE ST| toyota|6/7/2017
3ELAD52ZRVY711997|INOAOLE ST|renault|10/31/2013
5ATQR34DIAP874337|KING ST (NORTH)| mazda|1/24/2015
1YQQU21QDPG88500|KING ST (NORTH)| toyota|12/9/2014
5YCZP40GSSP28145|PAKUI ST| nissan|1/26/2011
4OZXU4FEDI163673|ALA PUUMALU| honda|6/13/2017
1EJOC44NCPA247926|ULUOA ST| volkswagen|1/20/2013
3TKTW10ELFD85284|ALA LOKE ST| chevrolet|11/14/2015
5SDOV36AOPC986770|KAMOKU ST| mercury|5/27/2016
4JXAS12FIKM874901|AKEUKEU ST| subaru|3/27/2015
5RKRR16IQHX989579|PROSPECT ST| mercedes-benz|9/18/2011
4UVQO65DRYQ223256|HALEKULA WAY| jaguar|8/30/2015
3SXPJ29WOMO171768|HALEKULA WAY| subaru|2/25/2016
1GDUK85TWOA195046|TAYLOR ST| jaguar|5/13/2014
4VZSG38FIDA71649|PAIWA ST|isuzu|8/19/2012
5QNSC62EPMI13286|SIBLEY ST| volkswagen|10/22/2012
3HWXC64HDIK212231|LUAPELE PL| bmw|8/12/2014
5MCBT37KIJY155793|KAIAULU ST| audi|7/16/2014
5USOD64HBDE653404|HOKUALA PL| chevrolet|9/22/2014
5KSDN28FGFJ912767|KOLOLIO ST| porsche|1/16/2015
4UEGK59UZYY956981|NOLA ST| alfa-romero|7/29/2013
4TQGE94TKTZ464468|LAUPAI ST| mercury|3/28/2011
3VQEP80AKKR7836|ISENBERG ST| dodge|8/18/2012
2AARV20MKGJ144208|ISENBERG ST|isuzu|12/24/2015
5SESO78FERU269986|MALAHUNA LP| toyota|5/6/2016
3KSOZ75FPJB67482|MALAHUNA LP| alfa-romero|4/26/2013
4FVUJ23SIYG250412|LILIHA ST| volkswagen|4/23/2011
3OEUZ30BTXK156807|NAWILIWILI ST| plymouth|4/23/2012
4MKQL32CMOD46153|POOHAILI ST|mitsubishi|7/8/2011
3IAFF87GFLG306227|POOHAILI ST| audi|10/2/2012
4ZKKC80XJPX644324|POOHAILI ST| audi|9/14/2013
1QLRN97LGFP986321|POOHAILI ST|isuzu|3/19/2011
2IDPH80WXEE364159|POOHAILI ST| volvo|5/5/2011
1WWKN10YSQW600914|POOHAILI ST| chevrolet|1/25/2015
3NYND16UJHC698693|AIALII ST| jaguar|11/2/2017
1JHYF42GAHY83535|AIALII ST| volkswagen|6/25/2015
4FWKJ12LKOA163827|POOHAILI ST| toyota|8/23/2012
5JQVT95CBOZ659838|POOHAILI ST| alfa-romero|10/21/2012
1BMWQ1OKIQ84488|KAPUKAWAI ST| saab|5/23/2016
3IKOK26QHPI562549|POOHAILI ST|mitsubishi|1/25/2014
4SYQA66UZMQ333113|LEOKU ST| alfa-romero|9/18/2016
1BSRY27CJMS91293|BROKAW ST| mercury|5/22/2012
5UPMQ97AAPV983980|WANAAO RD| saab|1/29/2011
2VXQC85EZED903901|HOOHAAHEO PL| mercedes-benz|5/10/2012
1VVRU43DVBT535051|KAAHOLO ST|isuzu|7/8/2014
3AITY81QJTD440061|NOELA ST| volvo|9/23/2013
4RAUH82PZHN629689|PATY DR| mercedes-benz|7/26/2011
3BXEJ29LVHL40320|IUIU ST| mazda|5/15/2013
2LRBX85TCVA704475|PAKINI ST| honda|3/29/2013
1CLJF1IEDH10940|ST LOUIS DR| porsche|5/5/2017
5SWDI87BMUW251517|PAKINI ST| volvo|10/12/2015
2BSDY81JZZQ495478|MOKUHANO ST| porsche|12/24/2011
3HNSM5ZFVD432305|MOKUHANO ST| volkswagen|9/7/2016
1LPGW68OJKG242168|MOKUHANO ST| peugot|6/28/2016
4BZIT96CSKO514680|DATE ST| honda|7/18/2015
1TZZP77XGGF214743|KAM HWY| mercury|3/13/2017
2BMPS64SOGH345248|ALA AKAU ST| porsche|3/14/2012
4OOEU49ETHK633362|KAUIKI ST| mercedes-benz|2/2/2017
2ZPGO49LDEE607095|KAHUANUI ST| volvo|8/6/2016
3CAYT1FHHV615052|ILAUHOLE ST| volkswagen|10/4/2015
2QUKF8PXRG758366|WILIKI DR| mercury|2/20/2017
4QPLN89SMOK554523|KAAI ST| dodge|9/29/2011
1OQFT93GVPK626577|HAUMANA PL| plymouth|5/10/2015
5LSFC96GECD172996|HOOHIAMOE ST| volvo|8/26/2014
1TTRH32RKAD290946|KAULIKE DR| dodge|7/13/2012
2EFPU78GRXY0|ALA LAULANI| nissan|7/2/2011
1OODD27ROJW6983|PEPEEKEO ST|renault|4/28/2015
4GXVM70BEOR877508|ALA LAULANI| volvo|2/1/2012
5KYPD42RZWJ376993|OPIHIKAO WAY| dodge|7/12/2014
1ZPBQ30XHDS984846|KAHUANANI ST| saab|2/27/2015
2WRZB14TZOS677621|KAHOALOHA LN| chevrolet|3/1/2011
1GMEC73OBMJ198862|KAPAPAPUHI ST|renault|10/22/2012
3JTTM20DLPU164914|KAPAPAPUHI ST| mazda|2/25/2016
5BROQ90AOBC29629|PROSPECT ST| nissan|8/28/2011
4ZUJH41OSTU663581|PROSPECT ST| dodge|4/30/2016
3LFLS10UWXE380047|BOTHNE CT| toyota|3/9/2012
2QASH39LNAI511623|DALENE WAY| mercury|2/27/2011
4HMNQ67ZRMM331088|KAPALAMA AVE| alfa-romero|4/10/2011
2OCVI75JRYN579496|AHE ST| honda|6/17/2012
1IDVC45QNCX440381|AHE ST| saab|8/13/2013
4MTZY47KZJO966637|AHE ST| volkswagen|10/1/2012
4ZNUE30AYJD746354|AHE ST| audi|12/10/2015
2MXZB50IDUU587569|MANUKU ST| plymouth|1/26/2017
4KVNW67YWVA499922|AHUIMANU RD| mercury|3/6/2012
3IMXK66WSPE500853|WAIAKA RD| porsche|12/23/2014
2OJBX43HTRT620542|WAIAKA RD| subaru|9/21/2012
5ENQU82YANL339336|KAIPAPAU LP|renault|7/13/2012
5ETWZ60VVWB858504|GREEN ST|renault|11/7/2012
3NSNZ85BNRL707086|KAMANI ST| mazda|7/12/2017
2NEGI58HLUR771077|PAHU ST| volkswagen|8/23/2011
5TGSB76CHCY15395|ULUPA ST| mercedes-benz|4/12/2014
2GQOO4DLSR656915|MAHALANI ST| saab|7/23/2013
2IICB74IQTA794437|CALIFORNIA AVE| audi|3/19/2014
5BXNX6GXDI721197|BENNION DR| mazda|8/21/2011
1RWNA83CGGX443607|LUMIPOLU ST| chevrolet|12/7/2014
1RUOJ1AXGH40017|IHO PL| plymouth|12/21/2015
5WNZW8DODT797327|PUA LN| mercury|1/15/2015
2ZYQJ63SUGU527592|MANONO ST|mitsubishi|6/7/2014
1PJQF65SOMP13846|WAIMANO HOME RD| honda|10/30/2017
4RTGD35MJEH562634|KALEO PL| bmw|1/6/2014
3EUZV78CPXB326067|PAULA DR| porsche|5/30/2016
2BBOI54QEPX241937|KILEPA PL| toyota|6/26/2017
1UNPJ16EXEC687963|NALII ST| dodge|11/4/2016
2DGRA87GIHU8113|AKAMAI ST| saab|2/2/2016
1MNNU2IENH217107|POALIMA ST| mercury|3/7/2017
3UPHV84NKNR9423|KAM IV RD| volvo|12/21/2013
1CGZQ90DKJR485917|KAM IV RD|renault|10/31/2013
3SUIN31AXCC885553|20TH AVE| plymouth|1/11/2016
3YOKU93CRDS870233|KALALOA ST| chevrolet|2/28/2011
2GGVB42OEUH982430|KALALOA ST| nissan|5/10/2014
3DWOR64QFOF872538|ALA MAHAMOE| mercury|1/14/2017
1TZKV35OLLY77044|ALA MAHAMOE|isuzu|12/6/2011
1IHSZ77LAJB241861|ALA MAHAMOE| mercedes-benz|8/18/2015
1FJCN63RKFE616443|NIULELO PL| saab|12/24/2013
5AGQS50AJHO330717|NIULELO PL| porsche|1/2/2014
3SKFS71ALDT854587|LUNALILO ST| plymouth|3/14/2012
2QBPW19BZGE498717|HEKAHA ST| mercury|9/4/2012
1IZJU50VCRO811279|NIULELO PL| subaru|3/6/2014
2RAWD56AEVZ430931|HALA DR| audi|9/4/2017
3FOCF96QLGK822699|KIPAPA DR| bmw|10/23/2017
3NWQW15VFQM930056|KIPAPA DR| nissan|12/21/2016
1TFLA53HHSX395041|KIPAPA DR| jaguar|6/20/2013
1GDSM26EZQU705252|KAHAKIKI ST| nissan|7/24/2012
4JAKF83QPEN479106|HOOKANAHE ST| volvo|11/20/2013
1QWNN53CELY516872|INOAOLE ST| porsche|11/18/2011
2OANB86QMEF597296|HELELUA ST| saab|8/10/2015
4BVOG83LEDF33829|HELELUA ST| mazda|8/7/2016
5ZTTS31UZLJ708772|HELELUA ST| nissan|7/7/2015
4VGDD96JOWB674447|HELELUA ST| jaguar|9/23/2014
5WTDW79WRPR948004|HELELUA ST| chevrolet|5/12/2011
1DCAD51QHCL784562|HELELUA ST| mercury|2/24/2015
3HBON43NHRL956419|HELELUA ST| peugot|9/23/2014
3ORPH72WNZW447723|HELELUA ST| jaguar|6/13/2011
4FOPO20JADJ35410|HELELUA ST| audi|6/12/2016
2IERU25CAZP835552|KAMINAKA DR| bmw|3/18/2015
4VXGF55AJIU263675|HELELUA ST| toyota|4/9/2013
3TUYZ47NVPM544473|ALAMIHI ST| audi|2/6/2017
4VJSP77DKAU649396|KOKOLE ST| alfa-romero|12/26/2011
3YUGG13GPNP359356|KOKOLE ST| mercedes-benz|12/31/2012
5CEDA26GPKO854041|KOKOLE ST| alfa-romero|1/3/2012
4CJFK22XPJZ846724|KAWAIPUNA ST| saab|11/23/2016
1BZKO50FACB954481|KAWAIPUNA ST| audi|7/4/2014
2QUQH1NLDB269469|KAWAIPUNA ST| saab|9/10/2012
4LFSX72OGRM136869|KALIAWA ST| chevrolet|3/4/2014
1MRSE84LGWU919950|ILIAHI ST| subaru|8/9/2012
1IJYB84FBAD89311|MAKIKI ST| mercedes-benz|5/8/2013
1OGUW57RFQW734750|WALEA PL| volvo|12/7/2015
1SMVH76IYEB486355|WALEA PL| chevrolet|3/27/2011
1LHKN94SRUU589986|KIPAPA DR| audi|8/21/2015
5DWKR33TAZX36994|HUEHU ST|isuzu|9/24/2013
1WTLK97BSTU656951|3RD ST (PEARL CITY)| mercedes-benz|4/18/2014
1UTMN26VLOZ181781|KUKULA ST| subaru|11/12/2011
3AWER74HUOA728209|PEKE LN| audi|10/5/2014
3FYFZ83PHLE118096|CRATER RD| alfa-romero|1/7/2011
4UGMF92KPBL186486|CRATER RD| volkswagen|1/18/2015
5ANJO8XTGV98396|CLARK ST (MAKIKI)| porsche|12/10/2013
3BFYE45WZND629851|AKIMALA ST| alfa-romero|12/3/2015
5RJHX3YJHZ848613|CANE ST (NORTH)| mercury|12/15/2013
5ICKA66UCQC19973|WAIOMAO RD| honda|3/17/2015
2TGMM5AJAY689941|MOOLELO ST|isuzu|7/28/2012
1XTWX81BTLI399202|HAHAIONE ST| alfa-romero|5/17/2015
4WHQC28LTGL941951|SIERRA DR| subaru|4/27/2016
3KVVC32XZMG874778|SIERRA DR| saab|4/20/2012
3QVKL37TBRF209207|KEAHI PL| toyota|10/20/2017
2TTWE92CZBH670002|KEAHI PL| mercury|3/17/2017
1VLHA9VUNB847438|KEAHI PL|isuzu|4/24/2013
3KBMA71LUKK885534|PALOLO AVE| mercury|6/25/2011
3NSHK21EFLG847403|NENEHIWA PL| subaru|3/9/2017
1FIGP57AELR574038|NENEHIWA PL| mazda|10/9/2016
4PYJQ6BLKA536510|KINAU ST| mazda|9/25/2011
2NHWN93YJFM819481|KINAU ST| mazda|2/7/2013
5RULO83HTUD897308|KINAU ST| volvo|9/10/2011
5LUFH35RPVA974934|KINAU ST| plymouth|3/5/2012
2KKUS77WJWP777723|HOOMOANA ST| toyota|9/1/2016
5AZWK95OJQG827888|HAKU ST| porsche|12/1/2011
2UJGT34QBSP843954|KAONOHI ST| peugot|6/20/2013
1HNZT8SYVU735036|KEWALO ST|renault|10/11/2011
4JDHL32AADO182039|YACHT CLUB ST| alfa-romero|5/24/2016
5WGHX75UYBV700865|WAIKALUA RD|isuzu|4/13/2012
4RJFR15EBQC583573|WAILELE RD| dodge|7/14/2016
5JNDU79QBZC772953|KAKALA ST| subaru|9/5/2017
1OTIW24IKHR72735|ALA AKULIKULI| audi|5/14/2016
2XDSN39OKTF690045|KAKALA ST| peugot|11/18/2017
3LYVJ70XRUA552012|KAAHA ST| peugot|12/30/2011
2HADF87PRSU23825|KAHUALEI PL| audi|1/25/2015
4PAPL1KRIF658705|KAHUANANI ST| mazda|4/15/2014
4GRKA54CKTR850843|KAHUANANI ST| dodge|12/20/2017
3GDIH23DAZY725060|KILIHAU ST| mercedes-benz|6/6/2011
1BFXN41AMNC147830|MOKULELE DR| chevrolet|5/26/2012
3IZXK6HQAS644314|KAHUHIPA ST| mercedes-benz|4/8/2012
1OOVA65EZMQ847887|KILIHAU ST| dodge|5/10/2015
3VBME96FISV898402|KILIHAU ST| toyota|2/22/2014
3PPAZ97JWDB979917|PUKOLOA ST| chevrolet|10/12/2014
5KBEB53VGBC261335|KILIHAU ST| bmw|6/6/2011
4PURA33MXWL572597|AIPUNI ST| saab|8/20/2014
4OFBV1LRYV214519|AWAMOI ST| mazda|7/29/2011
3WDDL10JXQP344888|KAUHANE ST| nissan|3/15/2013
3LZBZ15LTMO202349|PAAHANA ST| porsche|11/22/2012
2UIBN56VTED268843|LIKINI ST| audi|12/19/2014
5XVYC46VWAG320318|ALA KAPUA| toyota|4/19/2017
1VVVV49PTCT427771|POKIWAI WAY| jaguar|11/13/2012
2AHTI85WFCP797021|POKIWAI WAY| mazda|10/1/2016
2BWLZ72PLPP12226|LILIHA ST| mercedes-benz|6/18/2012
5UBOY89TZQZ569863|KOIHALA PL| mazda|11/26/2014
2PSFH33XEMH834418|LUKEPANE AVE| porsche|8/18/2011
2MUWN76OTYD621306|DOMINIS ST| subaru|8/9/2013
4FTBW64TYMX571678|DOMINIS ST| porsche|9/10/2017
1DTOY30EWJC155138|KAIHOHONU ST| volkswagen|2/5/2016
5PPPV1MEMH16171|PAAHANA ST| toyota|2/8/2017
2MSNW74GGHO6100|KAHUNA LN|renault|7/31/2012
3LQTS6JCAC923711|YOUNG ST| nissan|3/2/2013
2UQDB25UDLI739774|BOUGAINVILLE DR| audi|7/12/2017
4UHGX92WEVO825854|YOUNG ST|isuzu|9/3/2012
2GCDG30MXEN505325|AIALII ST| jaguar|9/4/2016
3FXCS81MOFK475325|AIALII ST| chevrolet|11/23/2012
1GMVY56SPFR241987|WILIWILI ST| mercury|1/4/2017
4GWCN26ZPHJ223205|WILIWILI ST| mercury|6/11/2016
3KPMB67GEPD703358|HOOHIAMOE ST| peugot|4/22/2011
5QTKS96DYQM223098|KAWAEKU ST| chevrolet|9/26/2013
5BTRL94OMHQ575297|AUKAUKA RD|mitsubishi|12/3/2013
1SYON74FRIP925115|MAKAKILO DR| chevrolet|5/6/2013
3FWDH26VYYS582105|KAIOPUA ST|mitsubishi|1/20/2011
1MGJM27ZMPO642518|KANUKU ST| volkswagen|10/14/2015
1OEIP46DRXC72004|NIOLOPA PL| toyota|7/4/2015
1KNOB92MEKF140983|NIOLOPA PL| bmw|5/20/2014
3KHYW82YZFE376414|KAPOLEI PKWY| plymouth|12/17/2016
1NLJD71LQKY319845|HOALUA ST| plymouth|11/30/2014
3EZRH35BESE811974|18TH AVE| chevrolet|9/30/2011
2GDAX49HNTI408959|LAUPAI WAY| subaru|1/12/2013
5ATDW68NNCR528738|LAUPAI WAY| bmw|5/5/2011
1KEIW20WHNG265709|LAUPAI WAY| saab|4/7/2011
1ICTH8BXWX70799|LAUPAI WAY| plymouth|11/19/2016
1XSFE66XHXU883468|KAILEOLEA DR| jaguar|6/6/2012
1KTTE55PPZT543483|HART ST| volvo|12/27/2012
5VNKV23QQNI537223|HART ST| volkswagen|8/31/2014
1JMIC44TISV578961|HART ST| mercedes-benz|12/6/2011
4NHCO29CLUC89596|HART ST| volvo|11/26/2014
4QHLR93BPXC79373|HART ST| subaru|12/24/2013
4NKHK74BOKY768334|HART ST|renault|5/14/2011
2FFLC81HUBO284743|HART ST| peugot|6/18/2012
4SGSC71YIQT534143|AINAPO ST| peugot|8/7/2014
2ZZAD52TDDC460426|ANIPEAHI PL| peugot|11/15/2012
4EFQN61QFXA750169|HUI IWA ST| alfa-romero|4/28/2012
1FBXT88FCMI271892|KALAE ST|isuzu|10/28/2017
4OVVS61FMSX159320|DATE ST| toyota|2/7/2017
3TEKC97WXCA980668|DATE ST| mazda|10/30/2015
3QSNY99PVFM579308|KAM HWY|mitsubishi|6/20/2012
2NVKP81DHUT64179|MAGAZINE ST| nissan|2/9/2016
1SUZJ91HBDV934059|SPRECKELS ST| volkswagen|7/14/2016
5PKZA86CSLE285210|WAILEPO ST| saab|8/18/2015
5WRTG70NXFA793171|WAILEPO ST|mitsubishi|2/18/2013
1XHZS51BRFJ921231|HOLT ST| subaru|11/23/2012
3YVOY73QGON267698|OLD PALAMA ST|renault|2/28/2017
1LVVI51OMHO681662|MCNEILL ST| mercedes-benz|1/17/2012
5CSFD85SHQU719592|PIKAIOLENA ST| toyota|12/14/2014
3JSLD59KWDO815861|PIKAIOLENA ST| plymouth|10/24/2012
1SKFX61BGZH903127|HOKUIWA ST| volkswagen|12/19/2011
1FOPL68WNAS267997|HAHAIONE ST| mazda|12/18/2014
5VJHK42POBH716961|HAHAIONE ST| mazda|7/9/2011
5YECH46ELUQ659776|PAUOA RD|isuzu|9/2/2012
3XPLO11CION422908|HAHAIONE ST| volvo|9/10/2016
1OLKM83IEXJ128204|PUUHONUA ST| audi|12/11/2016
2ZSYI72VNLU733894|PALOLO AVE| saab|1/23/2014
4XXJK49XSAL674564|KILAHA ST| saab|10/7/2016
4OVWX27PVKG705787|MALUAWAI ST| mercury|4/25/2012
2GLYK42QDCL734139|CLARK ST (MAKIKI)|isuzu|4/14/2014
4AIBJ41SPQD947233|KAIKO ST| plymouth|2/6/2016
2WYHM23IDLG513199|KAIKO ST| chevrolet|9/9/2017
1XCSU9ZSGG701732|ANAPALAU ST| subaru|1/5/2013
3GHXH30DHHD910099|MOOWAA ST| plymouth|12/20/2011
2SONV81UIXS318170|MOOWAA ST| porsche|2/9/2013
4VVYY19GISB234435|MOOWAA ST| peugot|6/18/2013
3WADN47KYFP740946|MOOWAA ST| chevrolet|12/11/2017
5CHKJ54USQG52068|MOOWAA ST| mercedes-benz|4/9/2012
4QWFW27PCBJ247915|ANEMOKU ST| plymouth|4/29/2017
3YDTU69EEUO135108|ANEMOKU ST| nissan|6/21/2011
2YUQJ20OWOX413508|LEOKANE ST| mercedes-benz|9/25/2016
5QPKD51RQXP773066|NALU ST| bmw|12/19/2015
3UAKJ39RMPL120643|EDNA ST| nissan|5/27/2016
5TGME80QMAQ276983|HAKU ST| audi|7/23/2016
1DQYY86UFBC598938|DOMINIS ST| mazda|6/30/2015
5NDUN2XPRP536414|DOMINIS ST| mazda|10/23/2016
4WFJP94HLKN315800|PUALU ST| bmw|3/19/2013
2EEHS38IYIP100041|UPAPALU DR| subaru|5/30/2015
5MESC57YTSS200796|LAUAWA ST| bmw|3/18/2016
1PPRX29BXJA354652|KIPAPA DR| nissan|5/15/2016
2AKEK54JABV424397|MAKAKILO DR| plymouth|9/23/2017
3IRKN83SEAF986588|KIPAPA DR|renault|5/21/2011
5UDMM78VSAD233430|MAKAKILO DR| chevrolet|1/15/2016
1KQTI48TGJC643947|KIPAPA DR|isuzu|11/6/2012
2NLVX16KMRN572865|KEKUANONI ST| honda|12/19/2017
4AAPM29XBTB688572|KEKUANONI ST| toyota|12/10/2017
1SZZC22HUBQ329797|KEKUANONI ST| peugot|6/18/2013
2GIQE51LWRH196868|KEKUANONI ST| chevrolet|9/12/2016
1QJOX82BAVD907760|KEKUANONI ST|mitsubishi|10/10/2013
1EOTL49NEEL699722|KEKUANONI ST|renault|8/28/2015
2VYHL37FEEM752382|ALA AKAU ST| toyota|10/24/2016
5OUKC97HWID870009|APUKI ST| alfa-romero|7/24/2013
1EILJ47GBAI627389|IOSEPA ST| alfa-romero|7/4/2016
3LRUN23OSYN399304|KULAULI ST|isuzu|10/27/2013
3AAXL27VJTA25866|MALAHUNA PL| honda|9/24/2017
1VTAP60XPRD235068|MALAHUNA LP| mercury|10/13/2012
3NASE80FOQD122905|NOELANI ST| mercedes-benz|2/3/2014
5YBHJ70RYEZ804673|PAPAHEHI PL| porsche|7/27/2015
2ZPDK98BWKS593539|LANIKUHANA AVE| audi|7/8/2013
1DWBR64ZHQU620115|LEHUA AVE| porsche|9/3/2017
2HUPB36EFPH815492|KAMAHAO ST| toyota|12/15/2012
2ELVV29ZQKM841418|AKAAWA ST| peugot|11/22/2015
3KWMR39TAJJ755476|PUHAWAI RD| porsche|9/20/2012
1KTTK92QLYG564860|APOEPOE ST| porsche|6/26/2014
5WLVE80FTVK121292|JENNIE ST|mitsubishi|1/31/2014
3BHFW96QHFK207552|LILIHA ST| subaru|1/2/2014
1BJHL30KOOR405274|KILANI AVE| dodge|7/25/2016
4CFIH10EOUH77774|OPEHA ST| mazda|12/17/2012
1VKTJ18LWXF864183|KINAU ST| dodge|3/7/2015
5LZQN98MPNW863963|KINAU ST| jaguar|11/20/2017
1TEKI83HQGE694648|KINAU ST|mitsubishi|9/24/2014
2WYDY29ICBN216491|CRATER RD| subaru|8/28/2016
1DQWN60UKQA516457|EDNA ST| chevrolet|7/23/2011
4ZKNY76AQUX747240|KAM HWY| volvo|12/13/2013
2BBBL44EKUE630257|NIOLOPA PL| peugot|7/24/2014
1VLJM95NAWA350866|NIOLOPA PL| nissan|9/18/2015
4ZRBR9DHBM356802|LEAHI AVE| bmw|8/26/2012
3EADW0UDBD705365|ULULANI ST| subaru|3/1/2011
5RSVY93IETS757103|KAHUHIPA ST| alfa-romero|1/3/2012
2QLNY22GXOM716557|KAKUHIHEWA ST| audi|3/4/2013
5ATKN62IXLL802883|WAILELE RD|isuzu|1/1/2011
3ZYCQ32LBWI814829|KAIELEELE PL| jaguar|3/30/2012
2HDZZ69MEDA472071|HAHANA ST| mercedes-benz|7/1/2016
5WEKH52SVNN234282|HAHANA ST| honda|9/2/2012
1UBPU12GAWK616141|9TH AVE| bmw|8/29/2012
2VDDC91WLGH433174|KAM HWY| mercury|3/4/2014
3WUOI17AEBM596379|KAM HWY| subaru|6/17/2017
2KBYV18ZBSR99220|POKI ST| mercedes-benz|7/31/2013
3SUTO52LOJC278335|POKI ST| plymouth|10/31/2016
2XAYJ66KMCG556017|POKI ST| plymouth|9/17/2013
3XHSH2RSKO28079|POKI ST| audi|9/19/2013
1MAPG48TRRJ128532|POKI ST|mitsubishi|8/26/2015
5BFGU69YJNZ727047|POKI ST| nissan|11/21/2012
2HVSF84SRKR351792|LIKINI ST| volkswagen|7/16/2016
3PJGP30HZAB258498|DEMOCRAT ST| honda|5/31/2014
4BAIT11ZOAV180219|DEMOCRAT ST| peugot|11/2/2012
5XSWQ60QVHT581865|DEMOCRAT ST|isuzu|9/1/2016
5DOBI14LOIL133547|POKI ST|mitsubishi|7/22/2012
3ARYC70BMSA850738|KAIPAPAU LP| nissan|10/7/2016
2SDWL94UVAN220058|KAHAKAI DR|isuzu|12/17/2014
5YGDJ3RSSV987556|MCNEILL ST| mercury|5/17/2012
3WRXN45PRMW304682|KAPUAI PL|mitsubishi|7/2/2011
2EZZY53UQQB798023|AIALII ST| jaguar|7/8/2012
4EHYQ23CMND243072|AIALII ST| bmw|11/22/2013
3WOGH49UIEY627749|KINALAU PL| alfa-romero|12/4/2011
1HNQU39WDWQ298132|WAIOMAO RD| peugot|2/26/2011
1CIKQ50GEOX689191|KOAUKA LP| chevrolet|1/2/2013
5DZOX34XSWP548095|JUDD ST (SOUTH)| dodge|7/23/2013
1HJNS68LKNU684852|LEOKU ST| saab|4/6/2017
5BDML66QNOW390935|WAIPAHU ST| dodge|1/6/2013
3VMXK6KVPH373516|KOMO MAI DR| toyota|2/17/2011
5QKFR68CTSE925884|MILILANI CEMETERY RD (MILILANI| mercedes-benz|12/6/2013
5AQWX2EIPQ139681|MCNEILL ST| subaru|7/25/2014
4EHDT51BIUL9507|HOKUUKALI ST| saab|5/7/2011
3CRLQ2DVUM166991|MANONO ST| saab|9/3/2017
1LYMG15UOSZ75733|HIAHIA LP| dodge|9/18/2011
3KLCP70NWST942526|HIAHIA LP|mitsubishi|5/24/2017
5WKCA34YHUH584452|MAKIKI ST|renault|1/19/2011
5NLYK37XCUM206504|MAKIKI ST| plymouth|10/27/2012
5SWYB20NCSI434592|KULA KOLEA DR| volvo|12/1/2017
5JEKV49NFSX546889|PAPAHEHI PL| saab|7/19/2014
4YQDK36DQCD497319|AHAIKI ST|renault|12/25/2013
4QKMV41ARMQ414636|AHAIKI ST| subaru|2/18/2014
3YFPG70KKTY881383|AHAIKI ST| nissan|6/20/2012
3UPKA7QCAC674600|KULAAUPUNI ST|isuzu|3/3/2015
3HKYO35UREH607368|KAM HWY| volvo|1/31/2017
3UDWD23JALR950827|KAM HWY| saab|10/7/2014
3IHIB89ORXG812710|KAM HWY| mazda|1/7/2013
4NZBI95XUPM366924|KAM HWY| volkswagen|7/16/2017
3VHBX13HTFB240105|LUNALILO ST| plymouth|9/21/2012
1CTPC3ALUS439267|HOOKANIKE ST|mitsubishi|1/18/2017
2TFNG71GGDT752911|MAMALU ST|renault|2/5/2011
5JRNI79FOTW798819|ALANEO ST| chevrolet|5/25/2012
1YVOS33AFJD621605|HALELOA PL| saab|1/18/2015
1EVTR55AJRT551249|ALANEO ST| chevrolet|10/18/2011
3NEYA2SONM850966|WAIAKA RD| alfa-romero|7/3/2017
4DMTB73LNLZ387377|COOLIDGE ST| toyota|9/23/2017
4QXQU62GBLR221309|PAHUWAI PL| volvo|8/10/2013
5AQVN5IZXL709489|PAHUWAI PL| volkswagen|9/30/2011
3ECRW37CKEY166202|PAHUWAI PL| mercedes-benz|7/3/2012
5HFDU82XWHT98297|PAHUWAI PL| plymouth|3/2/2012
4USMX18IYNH432345|AIPUNI ST| audi|11/26/2014
2FBLZ74JBQD96894|MOONUI ST| mazda|4/27/2014
5SPDC69TRRO130447|LEOKU ST|mitsubishi|10/26/2014
1AVZY89MKJW404794|MOONUI ST|mitsubishi|7/31/2013
1JPQP69BDNG128944|HOOPIO ST| chevrolet|10/16/2017
5MMKR0IITA587662|KEALIIAHONUI ST|renault|2/2/2012
1OURC72DUNU364752|HOOPIO ST| saab|7/17/2012
4UIGH38YREW680031|MAUNALEI AVE| mazda|11/14/2016
3IIYP88RFIA901238|HOOPIO ST| toyota|9/13/2013
